Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Leblon;4;2;1;230;12000.0;3300.0;780.0;52.17;Apartamento
Apartamento;Ipanema;5;2;1;400;11000.0;3200.0;850.0;27.5;Apartamento
Apartamento;Barra da Tijuca;4;3;4;233;11500.0;3432.0;5064.0;49.36;Apartamento
Apartamento;Península;4;3;4;297;11000.0;3800.0;750.0;37.04;Apartamento
Apartamento;Lagoa;4;3;4;260;11000.0;4400.0;1475.0;42.31;Apartamento
Apartamento;Flamengo;3;2;1;427;10000.0;4800.0;1100.0;23.42;Apartamento
Apartamento;Leblon;4;3;4;393;18000.0;4800.0;2000.0;45.8;Apartamento
Apartamento;Barra da Tijuca;4;3;3;250;12500.0;3600.0;1292.0;50.0;Apartamento
Apartamento;Leblon;3;2;1;203;10000.0;2800.0;0.0;49.26;Apartamento
Apartamento;Leblon;4;2;1;200;13000.0;3055.0;500.0;65.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;233;12000.0;3300.0;6250.0;51.5;Apartamento
Apartamento;Leblon;4;2;3;220;22000.0;5365.0;0.0;100.0;Apartamento
Apartamento;Leblon;4;3;4;400;16000.0;4800.0;0.0;40.0;Apartamento
Casa;Jardim Botânico;4;1;4;387;25000.0;0.0;5000.0;64.6;Casa
Apartamento;Barra da Tijuca;5;6;5;580;15000.0;3750.0;2563.0;25.86;Apartamento
Casa;Gávea;4;5;3;822;25000.0;0.0;15400.0;30.41;Casa
Apartamento;Ipanema;4;2;2;200;12000.0;2460.0;567.0;60.0;Apartamento
Apartamento;Ipanema;3;3;3;190;15000.0;3700.0;835.0;78.95;Apartamento
Apartamento;Flamengo;3;1;3;420;13000.0;3900.0;1343.0;30.95;Apartamento
Apartamento;Lagoa;4;3;2;253;15000.0;3200.0;616.0;59.29;Apartamento
Apartamento;Península;4;4;4;333;11000.0;3270.0;880.0;33.03;Apartamento
Apartamento;Barra da Tijuca;5;2;4;500;15000.0;949.0;399.0;30.0;Apartamento
Apartamento;Ipanema;4;1;1;167;15000.0;2600.0;600.0;89.82;Apartamento
Apartamento;Ipanema;4;6;4;700;65000.0;8860.0;0.0;92.86;Apartamento
Apartamento;Copacabana;3;1;2;281;11000.0;2690.0;5302.0;39.15;Apartamento
Apartamento;Barra da Tijuca;4;4;1;300;17000.0;4160.0;20000.0;56.67;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;4;300;13000.0;2896.0;0.0;43.33;Apartamento
Casa;Jardim Botânico;4;4;4;450;25000.0;0.0;1750.0;55.56;Casa
Apartamento;Leblon;4;2;2;200;16000.0;2300.0;720.0;80.0;Apartamento
Apartamento;Ipanema;4;2;1;170;13000.0;2717.0;1300.0;76.47;Apartamento
Apartamento;Barra da Tijuca;5;3;5;231;15000.0;2600.0;4730.0;64.94;Apartamento
Apartamento;Ipanema;4;3;2;240;16000.0;3100.0;8953.0;66.67;Apartamento
Apartamento;Ipanema;2;1;0;180;18000.0;2500.0;6100.0;100.0;Apartamento
Apartamento;São Conrado;3;3;3;270;15000.0;2200.0;920.0;55.56;Apartamento
Apartamento;Copacabana;4;1;2;120;12000.0;1700.0;500.0;100.0;Apartamento
Casa;Grajaú;6;4;4;90;60000.0;0.0;0.0;666.67;Casa
Apartamento;Copacabana;4;1;2;389;13630.0;3825.0;1164.0;35.04;Apartamento
Casa de Condomínio;Barra da Tijuca;5;4;5;1400;40000.0;2134.0;0.0;28.57;Casa
Apartamento;Leblon;4;2;2;240;19000.0;4000.0;1460.0;79.17;Apartamento
Apartamento;Leblon;2;1;1;130;12900.0;2181.0;315.0;99.23;Apartamento
Apartamento;Flamengo;4;2;2;430;12000.0;3768.0;1190.0;27.91;Apartamento
Apartamento;Leblon;4;3;4;325;22000.0;4700.0;0.0;67.69;Apartamento
Apartamento;Ipanema;4;1;4;200;20000.0;2400.0;0.0;100.0;Apartamento
Apartamento;Leblon;4;2;3;350;10500.0;1400.0;333.0;30.0;Apartamento
Apartamento;Lagoa;4;4;3;270;19000.0;3800.0;1600.0;70.37;Apartamento
Apartamento;Jardim Oceânico;6;6;5;460;15000.0;2300.0;0.0;32.61;Apartamento
Apartamento;Leblon;3;1;1;200;11000.0;1900.0;610.0;55.0;Apartamento
Apartamento;Ipanema;2;1;1;120;10000.0;1800.0;322.0;83.33;Apartamento
Apartamento;Flamengo;4;0;0;594;15000.0;4877.0;558.0;25.25;Apartamento
Apartamento;Leblon;4;5;2;420;25000.0;4457.0;2369.0;59.52;Apartamento
Apartamento;Ipanema;4;1;1;208;12000.0;1512.0;300.0;57.69;Apartamento
Apartamento;Leblon;4;2;2;205;15500.0;6000.0;934.0;75.61;Apartamento
Apartamento;Ipanema;2;1;0;130;12000.0;1200.0;1389.0;92.31;Apartamento
Apartamento;Leblon;4;3;3;380;14000.0;4000.0;550.0;36.84;Apartamento
Apartamento;Copacabana;3;1;3;190;12000.0;1790.0;290.0;63.16;Apartamento
Apartamento;Barra da Tijuca;4;3;2;215;20000.0;4800.0;0.0;93.02;Apartamento
Apartamento;Ipanema;3;3;1;210;21990.0;4000.0;3000.0;104.71;Apartamento
Apartamento;Ipanema;3;2;1;160;13500.0;3300.0;0.0;84.38;Apartamento
Apartamento;Ipanema;4;2;2;400;20000.0;8300.0;1800.0;50.0;Apartamento
Apartamento;Leblon;3;2;3;274;14500.0;4600.0;1773.0;52.92;Apartamento
Apartamento;São Conrado;4;2;2;309;10000.0;3768.0;1132.0;32.36;Apartamento
Apartamento;Leblon;4;1;1;200;11000.0;2000.0;0.0;55.0;Apartamento
Apartamento;Ipanema;3;2;1;200;23000.0;2200.0;0.0;115.0;Apartamento
Apartamento;Ipanema;5;2;3;265;16000.0;1907.0;0.0;60.38;Apartamento
Apartamento;Ipanema;4;2;2;330;25000.0;7950.0;1675.0;75.76;Apartamento
Apartamento;Ipanema;2;1;2;80;10000.0;3700.0;0.0;125.0;Apartamento
Apartamento;Barra da Tijuca;4;3;4;233;10000.0;3326.0;626.0;42.92;Apartamento
Apartamento;Copacabana;4;1;3;220;15000.0;1300.0;430.0;68.18;Apartamento
Apartamento;Leblon;3;2;1;156;13000.0;1925.0;3800.0;83.33;Apartamento
Apartamento;São Conrado;3;2;2;250;10000.0;3900.0;1000.0;40.0;Apartamento
Apartamento;Ipanema;4;2;1;230;10000.0;5050.0;1576.0;43.48;Apartamento
Apartamento;Ipanema;2;0;1;82;10000.0;900.0;1409.0;121.95;Apartamento
Casa;Barra da Tijuca;5;6;4;2000;49991.0;0.0;0.0;25.0;Casa
